repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
cloud-custodian/cloud-custodian,5056,45,24,15,4,8.900,0,1,2845,422,Python,false,10,Incubating,2020-06-25,2020-06-25,90.000,13,22,,Provisioning,Automation & Configuration
project-akri/akri,1022,6,1,1,0,5.871,3,28,1161,38,Rust,false,0,Sandbox,2021-09-14,2021-09-14,24.000,3,4,,Provisioning,Automation & Configuration
cdk8s-team/cdk8s,3921,46,21,6,2,11.732,0,0,2262,97,JavaScript,false,22,Sandbox,2020-11-10,2020-11-10,100.000,2,56,,Provisioning,Automation & Configuration
cri-o/cri-o,4847,39,19,12,1,8.046,0,0,2652,285,Go,false,80,Graduated,2019-04-08,2019-04-08,95.000,12,95,1.21,Runtime,Container Runtime
devstream-io/devstream,837,10,4,3,1,11.947,0,219,796,56,Go,false,7,Sandbox,2022-06-17,2022-06-17,22.000,0,0,1.20,Provisioning,Automation & Configuration
kcl-lang/kcl,966,78,36,17,1,80.745,0,1,588,17,Rust,false,0,Sandbox,2023-09-20,2023-09-20,100.000,8,56,,Provisioning,Automation & Configuration
GoogleContainerTools/kpt,1586,16,5,4,0,10.088,2,0,1550,95,Go,false,35,Sandbox,2023-06-30,2023-06-30,68.000,3,8,1.21,Provisioning,Automation & Configuration
kubedl-io/kubedl,453,6,4,2,0,13.245,1,9,1465,25,Go,false,37,Sandbox,2021-06-22,2021-06-22,34.000,4,7,1.18,Provisioning,Automation & Configuration
kubeedge/kubeedge,6178,54,22,9,2,8.741,0,0,1903,291,Go,false,56,Incubating,2019-03-18,2019-03-18,100.000,12,92,1.20,Provisioning,Automation & Configuration
metal3-io/baremetal-operator,493,22,4,1,0,44.625,1,2,1786,118,Go,false,20,Sandbox,2020-09-08,2020-09-08,70.000,10,45,1.20,Provisioning,Automation & Configuration
openyurtio/openyurt,1596,30,21,6,1,18.797,0,1,1302,120,Go,false,50,Sandbox,2020-09-08,2020-09-08,90.000,13,24,1.18,Provisioning,Automation & Configuration
superedge/superedge,987,8,2,0,0,8.105,8,58,1090,60,Go,false,37,Sandbox,2021-09-14,2021-09-14,13.000,0,0,1.17,Provisioning,Automation & Configuration
tinkerbell/tink,836,8,6,4,0,9.569,2,10,1522,52,Go,false,31,Sandbox,2020-11-10,2020-11-10,39.000,2,3,1.18,Provisioning,Automation & Configuration
distribution/distribution,8026,64,21,8,2,7.974,0,1,3279,412,Go,false,33,Sandbox,2021-01-26,2021-01-26,90.000,11,53,1.20,Provisioning,Container Registry
dragonflyoss/Dragonfly2,1757,52,31,19,4,29.596,0,0,1135,71,Go,false,92,Incubating,2018-11-13,2018-11-13,100.000,8,35,1.21,Provisioning,Container Registry
goharbor/harbor,21346,178,85,36,6,8.339,0,0,2877,297,Go,false,0,Graduated,2018-07-31,2018-07-31,100.000,10,48,,Provisioning,Container Registry
project-zot/zot,574,41,14,5,0,71.429,2,0,1637,30,Go,false,66,Sandbox,2022-12-13,2022-12-13,85.000,6,35,1.20,Provisioning,Container Registry
cert-manager/cert-manager,10952,91,42,18,1,8.309,0,0,2395,415,Go,false,46,Incubating,2020-11-10,2020-11-10,100.000,9,61,1.21,Provisioning,Security & Compliance
