dep,go_cncf_repos_using_dep
github.com/Azure/azure-sdk-for-go/sdk/azidentity,11
github.com/aws/aws-sdk-go-v2/config,12
gopkg.in/natefinch/lumberjack.v2,14
github.com/Masterminds/semver/v3,11
github.com/google/go-containerregistry,21
golang.org/x/sync,49
golang.org/x/exp,32
github.com/docker/docker,22
github.com/gogo/protobuf,18
github.com/containerd/containerd,17
github.com/opencontainers/image-spec,21
github.com/fsnotify/fsnotify,25
github.com/google/go-cmp,51
golang.org/x/time,31
golang.org/x/term,25
github.com/go-openapi/strfmt,14
github.com/miekg/dns,13
k8s.io/client-go,94
k8s.io/apiserver,27
github.com/onsi/gomega,58
gopkg.in/yaml.v2,38
github.com/aws/aws-sdk-go-v2,12
k8s.io/apimachinery,98
github.com/klauspost/compress,11
golang.org/x/tools,12
sigs.k8s.io/yaml,57
go.etcd.io/etcd/client/v3,15
go.opentelemetry.io/otel/trace,27
go.opentelemetry.io/otel,33
github.com/hashicorp/go-multierror,18
go.etcd.io/etcd/api/v3,12
github.com/spf13/viper,32
github.com/dustin/go-humanize,14
github.com/opencontainers/go-digest,16
github.com/grpc-ecosystem/go-grpc-middleware,13
k8s.io/component-helpers,11
k8s.io/kubernetes,17
sigs.k8s.io/gateway-api,11
go.uber.org/zap,38
github.com/google/uuid,58
golang.org/x/mod,13
github.com/grpc-ecosystem/go-grpc-prometheus,14
github.com/prometheus/client_golang,81
golang.org/x/oauth2,25
go.etcd.io/etcd/client/pkg/v3,11
golang.org/x/sys,48
github.com/spf13/pflag,66
github.com/spf13/cobra,81
github.com/evanphx/json-patch,17
k8s.io/kube-aggregator,11
go.uber.org/automaxprocs,16
github.com/go-sql-driver/mysql,11
sigs.k8s.io/controller-runtime,67
google.golang.org/grpc,62
github.com/sirupsen/logrus,45
github.com/davecgh/go-spew,17
github.com/go-logr/logr,39
github.com/vishvananda/netlink,22
k8s.io/apiextensions-apiserver,47
github.com/prometheus/common,28
google.golang.org/protobuf,52
github.com/ghodss/yaml,11
github.com/onsi/ginkgo,15
go.opentelemetry.io/otel/sdk,27
k8s.io/utils,59
github.com/stretchr/testify,92
k8s.io/cli-runtime,29
k8s.io/component-base,30
github.com/prometheus/client_model,23
github.com/pkg/errors,51
k8s.io/klog/v2,49
gopkg.in/yaml.v3,49
github.com/gorilla/websocket,14
golang.org/x/crypto,39
k8s.io/kubectl,33
github.com/mitchellh/mapstructure,16
github.com/json-iterator/go,16
go.opentelemetry.io/otel/exporters/otlp/otlptrace,13
sigs.k8s.io/controller-tools,15
github.com/golang/protobuf,26
github.com/onsi/ginkgo/v2,37
k8s.io/kube-openapi,19
github.com/Masterminds/sprig/v3,16
github.com/olekukonko/tablewriter,20
golang.org/x/text,23
github.com/fatih/color,18
k8s.io/code-generator,24
google.golang.org/api,19
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,11
go.uber.org/atomic,12
github.com/golang/mock,20
github.com/robfig/cron/v3,11
github.com/aws/aws-sdk-go,17
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc,18
golang.org/x/net,52
github.com/gorilla/mux,23
k8s.io/api,92
helm.sh/helm/v3,16
